Id,Province/State,Country/Region,Lat,Long,Date,ConfirmedCases
95,,Sudan,12.8628,30.2176,2020-03-03,0
96,,Liechtenstein,47.14,9.55,2020-03-15,4
97,Manitoba,Canada,53.7609,-98.8139,2020-03-06,0
98,Prince Edward Island,Canada,46.5107,-63.4168,2020-02-28,0
99,,Colombia,4.5709,-74.2973,2020-03-21,196
100,,Sweden,63.0,16.0,2020-01-24,0
101,,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-02-28,0
102,,Jamaica,18.1096,-77.2975,2020-03-19,15
103,Nova Scotia,Canada,44.682,-63.7443,2020-02-08,0
104,,Finland,64.0,26.0,2020-03-13,155
105,,Somalia,5.1521,46.1996,2020-02-18,0
106,Maryland,US,39.0639,-76.8021,2020-01-27,0
107,Chongqing,China,30.0572,107.874,2020-02-11,505
108,Tianjin,China,39.3054,117.323,2020-03-08,136
109,France,France,46.2276,2.2137,2020-02-15,12
110,Diamond Princess,Cruise Ship,35.4437,139.638,2020-03-18,712
111,,Sweden,63.0,16.0,2020-01-29,0
112,Nevada,US,38.3135,-117.0554,2020-02-11,0
113,Hubei,China,30.9756,112.2707,2020-02-27,65596
114,,Mayotte,-12.8275,45.1662,2020-02-12,0
115,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-09,0
116,,Kenya,-0.0236,37.9062,2020-01-27,0
117,Tibet,China,31.6927,88.0924,2020-02-15,1
118,Saint Barthelemy,France,17.9,-62.8333,2020-02-17,0
119,,Ecuador,-1.8312,-78.1834,2020-01-22,0
120,,Cote d'Ivoire,7.54,-5.5471,2020-03-03,0
121,Texas,US,31.0545,-97.5635,2020-03-20,394
122,,Colombia,4.5709,-74.2973,2020-03-16,54
123,,Latvia,56.8796,24.6032,2020-03-20,111
124,,Brazil,-14.235,-51.9253,2020-02-15,0
125,Gibraltar,United Kingdom,36.1408,-5.3536,2020-02-12,0
126,Maryland,US,39.0639,-76.8021,2020-03-02,0
127,Diamond Princess,US,35.4437,139.638,2020-01-31,0
128,Western Australia,Australia,-31.9505,115.8605,2020-02-16,0
129,Guizhou,China,26.8154,106.8748,2020-01-27,7
130,,Bosnia and Herzegovina,43.9159,17.6791,2020-03-01,0
131,Missouri,US,38.4561,-92.2884,2020-01-26,0
132,Manitoba,Canada,53.7609,-98.8139,2020-02-18,0
133,Macau,China,22.1667,113.55,2020-01-31,7
134,Quebec,Canada,52.9399,-73.5491,2020-02-29,1
135,Shandong,China,36.3427,118.1498,2020-03-16,760
136,,Brunei,4.5353,114.7277,2020-02-20,0
137,,Kuwait,29.5,47.75,2020-02-20,0
138,,Venezuela,6.4238,-66.5897,2020-02-24,0
139,,Chile,-35.6751,-71.543,2020-03-21,537
140,Nebraska,US,41.1254,-98.2681,2020-02-12,0
141,US,US,37.0902,-95.7129,2020-01-28,0
142,,Croatia,45.1,15.2,2020-01-22,0
143,,Turkey,38.9637,35.2433,2020-01-22,0
144,,Equatorial Guinea,1.5,10.0,2020-03-14,0
145,,Israel,31.0,35.0,2020-03-11,109
146,Grand Princess,US,37.6489,-122.6655,2020-02-14,0
147,Diamond Princess,US,35.4437,139.638,2020-03-03,45
148,Guadeloupe,France,16.25,-61.5833,2020-01-22,0
149,Inner Mongolia,China,44.0935,113.9448,2020-02-19,75
150,,Greenland,71.7069,-42.6043,2020-01-28,0
151,,Georgia,42.3154,43.3569,2020-02-04,0
152,France,France,46.2276,2.2137,2020-01-26,3
153,Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-22,19
154,United Kingdom,United Kingdom,55.3781,-3.4360000000000004,2020-03-07,206
155,,Honduras,15.2,-86.2419,2020-03-21,24
156,,Bangladesh,23.685,90.3563,2020-02-16,0
157,,Czechia,49.8175,15.473,2020-03-21,0
158,,Peru,-9.19,-75.0152,2020-02-13,0
159,Colorado,US,39.0598,-105.3111,2020-03-14,101
160,Beijing,China,40.1824,116.4142,2020-01-22,14
161,Hawaii,US,21.0943,-157.4983,2020-03-17,10
162,,Slovenia,46.1512,14.9955,2020-02-28,0
163,,Indonesia,-0.7893,113.9213,2020-02-28,0
164,,Cuba,22.0,-80.0,2020-03-12,3
165,Mayotte,France,-12.8275,45.1662,2020-01-27,0
166,,Thailand,15.0,101.0,2020-02-23,35
167,,Nigeria,9.082,8.6753,2020-03-16,2
168,North Dakota,US,47.5289,-99.784,2020-02-17,0
169,Mississippi,US,32.7416,-89.6787,2020-02-11,0
170,Tasmania,Australia,-41.4545,145.9707,2020-02-15,0
171,Oklahoma,US,35.5653,-96.9289,2020-01-30,0
172,,Algeria,28.0339,1.6596,2020-02-21,0
173,,Republic of the Congo,-1.44,15.556,2020-02-14,0
174,Ontario,Canada,51.2538,-85.3232,2020-02-22,3
175,,Monaco,43.7333,7.4167,2020-02-19,0
176,,Belarus,53.7098,27.9534,2020-02-23,0
177,Pennsylvania,US,40.5908,-77.2098,2020-02-22,0
178,,Costa Rica,9.7489,-83.7534,2020-03-03,0
179,,Dominican Republic,18.7357,-70.1627,2020-03-08,5
180,United Kingdom,United Kingdom,55.3781,-3.4360000000000004,2020-02-24,13
181,US,US,37.0902,-95.7129,2020-03-09,0
182,,Trinidad and Tobago,10.6918,-61.2225,2020-02-01,0
183,,Seychelles,-4.6796,55.492,2020-02-11,0
184,Diamond Princess,US,35.4437,139.638,2020-01-23,0
185,Puerto Rico,US,18.2208,-66.5901,2020-02-04,0
186,,Senegal,14.4974,-14.4524,2020-02-12,0
187,Inner Mongolia,China,44.0935,113.9448,2020-02-08,52
188,,Honduras,15.2,-86.2419,2020-03-07,0
189,,Slovenia,46.1512,14.9955,2020-02-19,0
190,,Ireland,53.1424,-7.6921,2020-02-21,0
191,,Greece,39.0742,21.8243,2020-02-03,0
192,Hunan,China,27.6104,111.7088,2020-01-27,100
193,,Kenya,-0.0236,37.9062,2020-03-03,0
194,,Holy See,41.9029,12.4534,2020-02-22,0
195,Louisiana,US,31.1695,-91.8678,2020-02-21,0
196,Guangdong,China,23.3417,113.4244,2020-03-01,1349
197,,Suriname,3.9193,-56.0278,2020-01-30,0
198,Western Australia,Australia,-31.9505,115.8605,2020-03-16,28
199,Yunnan,China,24.974,101.487,2020-03-10,0
200,,Kuwait,29.5,47.75,2020-03-22,188
201,,Finland,64.0,26.0,2020-02-21,1
202,Fujian,China,26.0789,117.9874,2020-01-28,80
203,,Georgia,42.3154,43.3569,2020-03-18,38
204,,Vietnam,16.0,108.0,2020-02-16,16
205,,Serbia,44.0165,21.0059,2020-02-21,0
206,West Virginia,US,38.4912,-80.9545,2020-03-14,0
207,,Kosovo,42.6026,20.903,2020-02-05,0
208,Idaho,US,44.2405,-114.4788,2020-03-09,0
209,,Bhutan,27.5142,90.4336,2020-01-26,0
210,,Vietnam,16.0,108.0,2020-02-06,10
211,Queensland,Australia,-28.0167,153.4,2020-03-14,46
212,Jiangxi,China,27.614,115.7221,2020-02-10,771
213,From Diamond Princess,Australia,35.4437,139.638,2020-02-09,0
214,Prince Edward Island,Canada,46.5107,-63.4168,2020-02-09,0
215,Hawaii,US,21.0943,-157.4983,2020-02-10,0
216,,Sri Lanka,7.0,81.0,2020-02-17,1
217,,Congo (Brazzaville),-4.0383,21.7587,2020-01-24,0
218,,Mauritius,-20.2,57.5,2020-02-23,0
219,,Armenia,40.0691,45.0382,2020-01-23,0
220,,Cyprus,35.1264,33.4299,2020-02-01,0
221,,The Bahamas,24.25,-76.0,2020-02-24,0
222,Netherlands,Netherlands,52.1326,5.2913,2020-03-22,4204
223,,Jersey,49.19,-2.11,2020-01-31,0
224,,Sri Lanka,7.0,81.0,2020-02-03,1
225,Netherlands,Netherlands,52.1326,5.2913,2020-03-07,188
226,,Bolivia,-16.2902,-63.5887,2020-03-20,15
227,Beijing,China,40.1824,116.4142,2020-03-18,469
228,New Hampshire,US,43.4525,-71.5639,2020-02-17,0
229,New Brunswick,Canada,46.5653,-66.4619,2020-02-18,0
230,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-13,0
231,Ontario,Canada,51.2538,-85.3232,2020-03-16,177
232,,Central African Republic,6.6111,20.9394,2020-03-14,0
233,New Hampshire,US,43.4525,-71.5639,2020-01-22,0
234,,Panama,8.538,-80.7821,2020-02-09,0
235,Nebraska,US,41.1254,-98.2681,2020-03-19,29
236,South Australia,Australia,-34.9285,138.6007,2020-02-25,2
237,,Brunei,4.5353,114.7277,2020-02-05,0
238,,Uzbekistan,41.3775,64.5853,2020-01-26,0
239,Texas,US,31.0545,-97.5635,2020-01-26,0
240,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-26,0
241,Maine,US,44.6939,-69.3819,2020-03-03,0
242,,Djibouti,11.8251,42.5903,2020-02-10,0
243,,Georgia,42.3154,43.3569,2020-03-15,33
244,,Suriname,3.9193,-56.0278,2020-01-29,0
245,,French Guiana,3.9339,-53.1258,2020-02-14,0
246,Shandong,China,36.3427,118.1498,2020-01-24,15
247,Colorado,US,39.0598,-105.3111,2020-02-27,0
248,,Kuwait,29.5,47.75,2020-01-25,0
249,US,US,37.0902,-95.7129,2020-02-12,0
250,,Barbados,13.1939,-59.5432,2020-02-10,0
251,Shanxi,China,37.5777,112.2922,2020-01-24,1
252,,Eswatini,-26.5225,31.4659,2020-01-30,0
253,,Singapore,1.2833,103.8333,2020-03-17,266
254,Maryland,US,39.0639,-76.8021,2020-03-22,244
255,Virgin Islands,US,18.3358,-64.8963,2020-01-23,0
256,Ningxia,China,37.2692,106.1655,2020-02-19,71
257,,Iran,32.0,53.0,2020-03-20,19644
258,Nova Scotia,Canada,44.682,-63.7443,2020-01-28,0
259,Maryland,US,39.0639,-76.8021,2020-01-29,0
260,Delaware,US,39.3185,-75.5071,2020-02-01,0
261,,Iceland,64.9631,-19.0208,2020-03-07,50
262,,Croatia,45.1,15.2,2020-02-15,0
263,US,US,37.0902,-95.7129,2020-03-15,0
264,,Germany,51.0,9.0,2020-01-30,4
265,,Malaysia,2.5,112.5,2020-02-09,16
266,Florida,US,27.7663,-81.6868,2020-03-13,50
267,Minnesota,US,45.6945,-93.9002,2020-02-29,0
268,Ontario,Canada,51.2538,-85.3232,2020-03-22,425
269,,Mauritania,21.0079,10.9408,2020-02-04,0
270,Jiangsu,China,32.9711,119.455,2020-03-04,631
271,,Guadeloupe,16.265,-61.551,2020-03-03,0
272,,Colombia,4.5709,-74.2973,2020-03-08,1
273,Reunion,France,-21.1351,55.2471,2020-02-06,0
274,,Slovenia,46.1512,14.9955,2020-03-07,7
275,Xinjiang,China,41.1129,85.2401,2020-03-04,76
276,Mayotte,France,-12.8275,45.1662,2020-02-09,0
277,,New Zealand,-40.9006,174.886,2020-02-27,0
278,Fujian,China,26.0789,117.9874,2020-03-08,296
279,,"Gambia, The",13.4432,-15.3101,2020-02-13,0
280,,Thailand,15.0,101.0,2020-02-11,33
281,Louisiana,US,31.1695,-91.8678,2020-02-22,0
282,North Carolina,US,35.6301,-79.8064,2020-01-29,0
283,,Slovakia,48.669,19.699,2020-02-24,0
284,,Paraguay,-23.4425,-58.4438,2020-03-02,0
285,West Virginia,US,38.4912,-80.9545,2020-01-26,0
286,,Aruba,12.5211,-69.9683,2020-01-29,0
287,,Albania,41.1533,20.1683,2020-03-01,0
288,,Slovenia,46.1512,14.9955,2020-03-18,275
289,South Dakota,US,44.2998,-99.4388,2020-02-17,0
290,,Uzbekistan,41.3775,64.5853,2020-02-14,0
291,,Luxembourg,49.8153,6.1296,2020-03-06,2
292,Puerto Rico,US,18.2208,-66.5901,2020-03-19,5
293,,Dominican Republic,18.7357,-70.1627,2020-03-14,11
294,South Dakota,US,44.2998,-99.4388,2020-03-12,8
295,Diamond Princess,US,35.4437,139.638,2020-03-05,45
296,,Cuba,22.0,-80.0,2020-02-16,0
297,Shaanxi,China,35.1917,108.8701,2020-03-02,245
298,Michigan,US,43.3266,-84.5361,2020-01-29,0
299,,French Guiana,3.9339,-53.1258,2020-03-10,0
300,,Latvia,56.8796,24.6032,2020-02-26,0
301,Diamond Princess,Cruise Ship,35.4437,139.638,2020-02-25,691
302,Guangdong,China,23.3417,113.4244,2020-02-11,1177
303,Kansas,US,38.5266,-96.7265,2020-01-22,0
304,,Trinidad and Tobago,10.6918,-61.2225,2020-02-26,0
305,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-28,0
306,,Mexico,23.6345,-102.5528,2020-01-31,0
307,Gibraltar,United Kingdom,36.1408,-5.3536,2020-03-20,10
308,Idaho,US,44.2405,-114.4788,2020-03-10,0
309,,Lebanon,33.8547,35.8623,2020-01-26,0
310,Puerto Rico,US,18.2208,-66.5901,2020-01-25,0
311,New Hampshire,US,43.4525,-71.5639,2020-02-19,0
312,,Guadeloupe,16.265,-61.551,2020-01-27,0
313,,Bahrain,26.0275,50.55,2020-02-09,0
314,Tasmania,Australia,-41.4545,145.9707,2020-01-27,0
315,,Indonesia,-0.7893,113.9213,2020-03-01,0
316,California,US,36.1162,-119.6816,2020-03-15,426
317,,Singapore,1.2833,103.8333,2020-02-10,45
318,Wyoming,US,42.756,-107.3025,2020-02-17,0
319,French Guiana,France,3.9339,-53.1258,2020-01-22,0
320,,Cote d'Ivoire,7.54,-5.5471,2020-02-11,0
321,,Gabon,-0.8037,11.6094,2020-03-02,0
322,,Georgia,42.3154,43.3569,2020-01-22,0
323,,Seychelles,-4.6796,55.492,2020-01-29,0
324,,"Gambia, The",13.4432,-15.3101,2020-03-12,0
325,,Namibia,-22.9576,18.4904,2020-01-22,0
326,,Tanzania,-6.369,34.8888,2020-03-18,3
327,Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-14,1
328,North Carolina,US,35.6301,-79.8064,2020-03-11,7
329,,Ghana,7.9465,-1.0232,2020-02-02,0
330,,Puerto Rico,18.2,-66.5,2020-03-02,0
331,,Monaco,43.7333,7.4167,2020-02-16,0
332,Denmark,Denmark,56.2639,9.5018,2020-03-03,6
333,,San Marino,43.9424,12.4578,2020-02-24,0
334,Tibet,China,31.6927,88.0924,2020-02-10,1
335,Virginia,US,37.7693,-78.17,2020-02-10,0
336,,Bolivia,-16.2902,-63.5887,2020-02-28,0
337,South Carolina,US,33.8569,-80.945,2020-02-26,0
338,,Russia,60.0,90.0,2020-02-07,2
339,United Kingdom,United Kingdom,55.3781,-3.4360000000000004,2020-03-06,163
340,,Togo,8.6195,0.8248,2020-03-02,0
341,,Maldives,3.2028,73.2207,2020-03-21,13
342,United States Virgin Islands,US,18.35,-64.933,2020-03-14,0
343,North Carolina,US,35.6301,-79.8064,2020-01-26,0
344,United Kingdom,United Kingdom,55.3781,-3.4360000000000004,2020-03-18,2626
345,Hebei,China,39.549,116.1306,2020-02-05,135
346,,Kazakhstan,48.0196,66.9237,2020-03-19,44
347,,Switzerland,46.8182,8.2275,2020-01-31,0
348,,Italy,43.0,12.0,2020-02-20,3
349,Guizhou,China,26.8154,106.8748,2020-03-10,146
350,North Dakota,US,47.5289,-99.784,2020-02-19,0
351,Macau,China,22.1667,113.55,2020-02-17,10
352,,Zambia,-15.4167,28.2833,2020-02-10,0
353,Virginia,US,37.7693,-78.17,2020-03-02,0
354,Xinjiang,China,41.1129,85.2401,2020-02-20,76
355,,Somalia,5.1521,46.1996,2020-03-03,0
356,Henan,China,33.882,113.614,2020-03-07,0
357,Hebei,China,39.549,116.1306,2020-03-06,318
358,Jiangsu,China,32.9711,119.455,2020-03-11,631
359,,Norway,60.472,8.4689,2020-02-24,0
360,British Columbia,Canada,49.2827,-123.1207,2020-02-23,6
361,,Brunei,4.5353,114.7277,2020-03-02,0
362,Shanghai,China,31.202,121.4491,2020-02-04,0
363,,Nepal,28.1667,84.25,2020-02-14,1
364,Ningxia,China,37.2692,106.1655,2020-02-09,45
365,,Seychelles,-4.6796,55.492,2020-03-09,0
366,West Virginia,US,38.4912,-80.9545,2020-03-20,7
367,Grand Princess,US,37.6489,-122.6655,2020-02-23,0
368,Anhui,China,31.8257,117.2264,2020-02-09,779
369,Quebec,Canada,52.9399,-73.5491,2020-03-20,139
370,Minnesota,US,45.6945,-93.9002,2020-03-01,0
371,,Eswatini,-26.5225,31.4659,2020-02-22,0
372,Washington,US,47.4009,-121.4905,2020-02-18,0
373,,Iceland,64.9631,-19.0208,2020-02-13,0
374,,Bolivia,-16.2902,-63.5887,2020-02-29,0
375,Ontario,Canada,51.2538,-85.3232,2020-02-12,3
376,Arizona,US,33.7298,-111.4312,2020-02-15,0
377,South Carolina,US,33.8569,-80.945,2020-03-08,0
378,,Lithuania,55.1694,23.8813,2020-03-05,1
379,,Belgium,50.8333,4.0,2020-01-28,0
380,,Kenya,-0.0236,37.9062,2020-02-14,0
381,Washington,US,47.4009,-121.4905,2020-02-15,0
382,,Germany,51.0,9.0,2020-02-04,12
383,,Nigeria,9.082,8.6753,2020-02-18,0
384,,Benin,9.3077,2.3158,2020-03-04,0
385,,Colombia,4.5709,-74.2973,2020-03-04,0
386,Arkansas,US,34.9697,-92.3731,2020-02-26,0
387,,Colombia,4.5709,-74.2973,2020-03-14,22
388,Wisconsin,US,44.2685,-89.6165,2020-02-15,0
389,,India,21.0,78.0,2020-02-19,3
390,Western Australia,Australia,-31.9505,115.8605,2020-02-22,0
391,Minnesota,US,45.6945,-93.9002,2020-02-15,0
392,,Vietnam,16.0,108.0,2020-02-02,6
393,,Eswatini,-26.5225,31.4659,2020-02-03,0
394,Zhejiang,China,29.1832,120.0934,2020-02-07,1006
395,Faroe Islands,Denmark,61.8926,-6.9118,2020-02-12,0
396,,United Arab Emirates,24.0,54.0,2020-01-28,0
397,,Congo (Brazzaville),-4.0383,21.7587,2020-02-19,0
398,California,US,36.1162,-119.6816,2020-03-18,751
399,,Sri Lanka,7.0,81.0,2020-02-19,1
400,Guizhou,China,26.8154,106.8748,2020-02-01,29
401,Massachusetts,US,42.2302,-71.5301,2020-02-23,0
402,Inner Mongolia,China,44.0935,113.9448,2020-02-23,75
403,Diamond Princess,Cruise Ship,35.4437,139.638,2020-02-10,135
404,,India,21.0,78.0,2020-03-16,119
405,Queensland,Australia,-28.0167,153.4,2020-02-17,5
406,,Bolivia,-16.2902,-63.5887,2020-03-22,24
407,,Seychelles,-4.6796,55.492,2020-02-03,0
408,,Bangladesh,23.685,90.3563,2020-01-23,0
409,Chongqing,China,30.0572,107.874,2020-02-26,576
410,,Costa Rica,9.7489,-83.7534,2020-02-07,0
411,,Israel,31.0,35.0,2020-03-15,251
412,Indiana,US,39.8494,-86.2583,2020-03-06,0
413,New York,US,42.1657,-74.9481,2020-03-06,0
414,Alberta,Canada,53.9333,-116.5765,2020-02-16,0
415,Colorado,US,39.0598,-105.3111,2020-02-24,0
416,Gansu,China,37.8099,101.0583,2020-02-04,57
417,,Hungary,47.1625,19.5033,2020-02-15,0
418,,Guadeloupe,16.265,-61.551,2020-02-14,0
419,,Russia,60.0,90.0,2020-03-18,147
420,Virginia,US,37.7693,-78.17,2020-03-09,0
421,,Benin,9.3077,2.3158,2020-02-24,0
422,Nova Scotia,Canada,44.682,-63.7443,2020-03-07,0
423,,Israel,31.0,35.0,2020-02-26,2
424,Hawaii,US,21.0943,-157.4983,2020-01-22,0
425,,Austria,47.5162,14.5501,2020-03-14,655
426,,Armenia,40.0691,45.0382,2020-01-24,0
427,Tianjin,China,39.3054,117.323,2020-01-23,4
428,,Antigua and Barbuda,17.0608,-61.7964,2020-03-01,0
429,Hong Kong,China,22.3,114.2,2020-02-27,92
430,Xinjiang,China,41.1129,85.2401,2020-03-22,76
431,Diamond Princess,Cruise Ship,35.4437,139.638,2020-01-22,0
432,,Equatorial Guinea,1.5,10.0,2020-02-18,0
433,Gansu,China,37.8099,101.0583,2020-03-19,134
434,,Guam,13.4443,144.7937,2020-02-07,0
435,,Peru,-9.19,-75.0152,2020-01-27,0
436,,Monaco,43.7333,7.4167,2020-02-22,0
437,Montserrat,United Kingdom,16.7425,-62.1874,2020-03-14,0
438,,Nigeria,9.082,8.6753,2020-02-26,0
439,Guangdong,China,23.3417,113.4244,2020-03-19,1378
440,Alaska,US,61.3707,-152.4044,2020-02-02,0
441,,Finland,64.0,26.0,2020-03-01,6
442,,Moldova,47.4116,28.3699,2020-03-11,3
443,,Iran,32.0,53.0,2020-02-15,0
444,Sichuan,China,30.6171,102.7103,2020-03-12,539
445,,Suriname,3.9193,-56.0278,2020-02-17,0
446,,Moldova,47.4116,28.3699,2020-02-21,0
447,Michigan,US,43.3266,-84.5361,2020-03-22,1037
448,,Liechtenstein,47.14,9.55,2020-02-23,0
449,French Polynesia,France,-17.6797,149.4068,2020-03-20,11
450,,Ecuador,-1.8312,-78.1834,2020-02-06,0
451,,Germany,51.0,9.0,2020-03-08,1040
452,Hainan,China,19.1959,109.7453,2020-03-02,168
453,,Lebanon,33.8547,35.8623,2020-01-30,0
454,Idaho,US,44.2405,-114.4788,2020-03-14,2
455,Liaoning,China,41.2956,122.6085,2020-02-13,117
456,Western Australia,Australia,-31.9505,115.8605,2020-01-28,0
457,Hainan,China,19.1959,109.7453,2020-02-28,168
458,,Iceland,64.9631,-19.0208,2020-03-06,43
459,Ningxia,China,37.2692,106.1655,2020-03-09,75
460,Zhejiang,China,29.1832,120.0934,2020-02-11,1117
461,,Lebanon,33.8547,35.8623,2020-03-07,22
462,Tibet,China,31.6927,88.0924,2020-03-17,1
463,,Liberia,6.4281,-9.4295,2020-03-17,1
464,,Cameroon,3.848,11.5021,2020-03-13,0
465,,Ecuador,-1.8312,-78.1834,2020-02-10,0
466,,Brazil,-14.235,-51.9253,2020-02-17,0
467,Florida,US,27.7663,-81.6868,2020-03-04,0
468,Kentucky,US,37.6681,-84.6701,2020-03-18,27
469,Heilongjiang,China,47.862,127.7615,2020-03-21,0
470,,Maldives,3.2028,73.2207,2020-03-06,0
471,,Martinique,14.6415,-61.0242,2020-02-14,0
472,Oregon,US,44.572,-122.0709,2020-03-19,0
473,Delaware,US,39.3185,-75.5071,2020-02-17,0
474,,Honduras,15.2,-86.2419,2020-02-18,0
475,,Ghana,7.9465,-1.0232,2020-02-28,0
476,Gansu,China,37.8099,101.0583,2020-02-12,87
477,,The Bahamas,24.25,-76.0,2020-02-14,0
478,,Somalia,5.1521,46.1996,2020-02-28,0
479,Michigan,US,43.3266,-84.5361,2020-02-11,0
480,,Honduras,15.2,-86.2419,2020-02-19,0
481,,Lebanon,33.8547,35.8623,2020-02-19,0
